UniProtID,GeneName,Class,isInMatrisome,Division,Category,probability
O95256,IL18RAP,ECM,No,NULL,NULL,0.74969697
P30419,NMT1,nonECM,No,NULL,NULL,0.750646465
P30414,NKTR,nonECM,No,NULL,NULL,0.672242424
P30411,BDKRB2,nonECM,No,NULL,NULL,0.540949495
P30408,TM4SF1,nonECM,No,NULL,NULL,0.513959596
Q96IZ2,ADTRP,nonECM,No,NULL,NULL,0.735212121
O95222,OR6A2,nonECM,No,NULL,NULL,0.584969697
O95221,OR5F1,nonECM,No,NULL,NULL,0.596
Q8NB66,UNC13C,nonECM,No,NULL,NULL,0.934646465
Q8NAU1,FNDC5,ECM,No,NULL,NULL,0.558929293
O95219,SNX4,nonECM,No,NULL,NULL,0.827959596
O95210,STBD1,ECM,No,NULL,NULL,0.520323232
Q6P4I2,WDR73,ECM,No,NULL,NULL,0.541090909
O95206,PCDH8,ECM,No,NULL,NULL,0.735111111
P25713,MT3,nonECM,No,NULL,NULL,0.583737374
P25705,ATP5F1A,nonECM,No,NULL,NULL,0.759636364
P22735,TGM1,ECM,Yes,Matrisome-associated,ECM Regulators,0.85620202
Q14449,GRB14,nonECM,No,NULL,NULL,0.648565657
P05231,IL6,nonECM,Yes,Matrisome-associated,Secreted Factors,0.60779798
P05230,FGF1,ECM,Yes,Matrisome-associated,Secreted Factors,0.835656566
A6NM03,OR2AG2,nonECM,No,NULL,NULL,0.615232323
Q9ULL5,PRR12,nonECM,No,NULL,NULL,0.679232323
Q14439,GPR176,ECM,No,NULL,NULL,0.51620202
P29474,NOS3,ECM,No,NULL,NULL,0.584080808
P67870,CSNK2B,nonECM,No,NULL,NULL,0.749737374
Q8NB16,MLKL,nonECM,No,NULL,NULL,0.791090909
Q14416,GRM2,nonECM,No,NULL,NULL,0.525676768
Q8NAN2,MIGA1,nonECM,No,NULL,NULL,0.664949495
Q0VAQ4,SMAGP,ECM,No,NULL,NULL,0.525717172
Q93100,PHKB,nonECM,No,NULL,NULL,0.721474747
Q9NQX7,ITM2C,nonECM,No,NULL,NULL,0.568464646
Q95460,MR1,ECM,No,NULL,NULL,0.510585859
Q86UW1,SLC51A,nonECM,No,NULL,NULL,0.686444444
Q9H3M0,KCNF1,nonECM,No,NULL,NULL,0.700525253
P35968,KDR,ECM,No,NULL,NULL,0.659232323
P15498,VAV1,nonECM,No,NULL,NULL,0.913555556
Q9UM44,HHLA2,ECM,No,NULL,NULL,0.690363636
Q9ULS6,KCNS2,nonECM,No,NULL,NULL,0.607252525
Q9H400,LIME1,nonECM,No,NULL,NULL,0.584464646
Q96JI7,SPG11,nonECM,No,NULL,NULL,0.706767677
P20138,CD33,ECM,No,NULL,NULL,0.801333333
Q9ULV1,FZD4,nonECM,No,NULL,NULL,0.549858586
Q9UM73,ALK,ECM,No,NULL,NULL,0.678909091
Q9H426,RIMS4,nonECM,No,NULL,NULL,0.734666667
Q9ULV8,CBLC,nonECM,No,NULL,NULL,0.709252525
Q9NP58,ABCB6,nonECM,No,NULL,NULL,0.541232323
Q9NP59,SLC40A1,nonECM,No,NULL,NULL,0.642888889
Q9ULW2,FZD10,nonECM,No,NULL,NULL,0.503575758
Q9ULW5,RAB26,nonECM,No,NULL,NULL,0.585515152
P35916,FLT4,ECM,No,NULL,NULL,0.682080808
P35913,PDE6B,nonECM,No,NULL,NULL,0.758242424
P35908,KRT2,nonECM,No,NULL,NULL,0.662888889
Q9H444,CHMP4B,nonECM,No,NULL,NULL,0.896989899
Q9ULX7,CA14,ECM,No,NULL,NULL,0.684505051
Q9NP72,RAB18,nonECM,No,NULL,NULL,0.724787879
P54652,HSPA2,nonECM,No,NULL,NULL,0.729818182
P50895,BCAM,ECM,No,NULL,NULL,0.71159596
Q9H3T2,SEMA6C,ECM,Yes,Matrisome-associated,ECM-affiliated Proteins,0.954585859
Q9H3T3,SEMA6B,ECM,Yes,Matrisome-associated,ECM-affiliated Proteins,0.848121212
Q9ULY5,CLEC4E,ECM,Yes,Matrisome-associated,ECM-affiliated Proteins,0.682525253
Q5QGZ9,CLEC12A,ECM,Yes,Matrisome-associated,ECM-affiliated Proteins,0.612929293
P15428,HPGD,nonECM,No,NULL,NULL,0.797939394
Q9H3U7,SMOC2,ECM,Yes,Core matrisome,ECM Glycoproteins,0.806727273
Q9ULZ9,MMP17,ECM,Yes,Matrisome-associated,ECM Regulators,0.878040404
P50851,LRBA,nonECM,No,NULL,NULL,0.646323232
O95197,RTN3,nonECM,No,NULL,NULL,0.676525253
Q5QGT7,RTP2,nonECM,No,NULL,NULL,0.555636364
O95185,UNC5C,ECM,No,NULL,NULL,0.708505051
O95183,VAMP5,nonECM,No,NULL,NULL,0.63230303
O95180,CACNA1H,ECM,No,NULL,NULL,0.512626263
Q13492,PICALM,nonECM,No,NULL,NULL,0.564929293
O95171,SCEL,nonECM,No,NULL,NULL,0.82779798
O95166,GABARAP,nonECM,No,NULL,NULL,0.754868687
O95164,UBL3,nonECM,No,NULL,NULL,0.595454545
Q96JW4,SLC41A2,nonECM,No,NULL,NULL,0.597858586
O60602,TLR5,ECM,No,NULL,NULL,0.591333333
O60603,TLR2,nonECM,No,NULL,NULL,0.500505051
O95150,TNFSF15,ECM,Yes,Matrisome-associated,Secreted Factors,0.578161616
Q9NVN3,RIC8B,nonECM,No,NULL,NULL,0.888262626
O14678,ABCD4,nonECM,No,NULL,NULL,0.502444444
O14669,PRRG2,ECM,No,NULL,NULL,0.572929293
Q09013,DMPK,nonECM,No,NULL,NULL,0.784868687
Q9NW15,ANO10,nonECM,No,NULL,NULL,0.694161616
O14654,IRS4,ECM,No,NULL,NULL,0.552949495
O14649,KCNK3,nonECM,No,NULL,NULL,0.614585859
O14638,ENPP3,ECM,No,NULL,NULL,0.648787879
A0A087WT01,TRAV27,ECM,No,NULL,NULL,0.659050505
P35237,SERPINB6,ECM,Yes,Matrisome-associated,ECM Regulators,0.935131313
P35236,PTPN7,nonECM,No,NULL,NULL,0.636989899
O14633,LCE2B,nonECM,No,NULL,NULL,0.622
P35232,PHB,nonECM,No,NULL,NULL,0.625939394
P35228,NOS2,nonECM,No,NULL,NULL,0.616787879
Q01718,MC2R,nonECM,No,NULL,NULL,0.584808081
O14613,CDC42EP2,nonECM,No,NULL,NULL,0.669474747
P35212,GJA4,ECM,No,NULL,NULL,0.539131313
O14610,GNGT2,nonECM,No,NULL,NULL,0.856343434
Q01726,MC1R,nonECM,No,NULL,NULL,0.61
Q07889,SOS1,nonECM,No,NULL,NULL,0.89769697
Q9BTE3,MCMBP,nonECM,No,NULL,NULL,0.733232323
Q07864,POLE,nonECM,No,NULL,NULL,0.902626263
Q96R28,OR2M2,nonECM,No,NULL,NULL,0.604181818
P50151,GNG10,nonECM,No,NULL,NULL,0.699212121
P50150,GNG4,nonECM,No,NULL,NULL,0.692181818
A6NIZ1,,nonECM,No,NULL,NULL,0.753535354
P50148,GNAQ,nonECM,No,NULL,NULL,0.818222222
Q96QS1,TSPAN32,nonECM,No,NULL,NULL,0.576848485
Q07837,SLC3A1,ECM,No,NULL,NULL,0.756080808
Q96R54,OR14A2,nonECM,No,NULL,NULL,0.575494949
Q96QV1,HHIP,ECM,Yes,Matrisome-associated,Secreted Factors,0.755313131
Q07812,BAX,nonECM,No,NULL,NULL,0.662787879
P13598,ICAM2,nonECM,No,NULL,NULL,0.555393939
P13591,NCAM1,ECM,No,NULL,NULL,0.712161616
Q13191,CBLB,nonECM,No,NULL,NULL,0.578363636
P14416,DRD2,ECM,No,NULL,NULL,0.504040404
P48058,GRIA4,nonECM,No,NULL,NULL,0.534989899
P48067,SLC6A9,nonECM,No,NULL,NULL,0.559010101
Q9HAU4,SMURF2,nonECM,No,NULL,NULL,0.779171717
Q53TN4,CYBRD1,nonECM,No,NULL,NULL,0.626828283
Q4KWH8,PLCH1,nonECM,No,NULL,NULL,0.878080808
Q18PE1,DOK7,ECM,No,NULL,NULL,0.525070707
Q96RA2,OR7D2,nonECM,No,NULL,NULL,0.591919192
Q02246,CNTN2,ECM,No,NULL,NULL,0.828464646
Q9UKI2,CDC42EP3,nonECM,No,NULL,NULL,0.594767677
Q08334,IL10RB,ECM,No,NULL,NULL,0.740585859
O43688,PLPP2,nonECM,No,NULL,NULL,0.558363636
Q06187,BTK,nonECM,No,NULL,NULL,0.777818182
O75534,CSDE1,nonECM,No,NULL,NULL,0.629555556
Q1MX18,INSC,nonECM,No,NULL,NULL,0.742969697
Q6W4X9,MUC6,ECM,Yes,Matrisome-associated,ECM-affiliated Proteins,0.939333333
Q6UB99,ANKRD11,nonECM,No,NULL,NULL,0.849434343
Q96FT7,ASIC4,nonECM,No,NULL,NULL,0.666606061
P10586,PTPRF,ECM,No,NULL,NULL,0.791272727
Q9UIB8,CD84,ECM,No,NULL,NULL,0.66589899
O43657,TSPAN6,nonECM,No,NULL,NULL,0.500767677
O75509,TNFRSF21,ECM,No,NULL,NULL,0.764484848
O75508,CLDN11,nonECM,No,NULL,NULL,0.562040404
P17405,SMPD1,ECM,No,NULL,NULL,0.62569697
Q9UIA0,CYTH4,nonECM,No,NULL,NULL,0.713737374
Q96G30,MRAP2,nonECM,No,NULL,NULL,0.703575758
Q96FQ6,S100A16,ECM,Yes,Matrisome-associated,Secreted Factors,0.849717172
Q9Y3Q4,HCN4,ECM,No,NULL,NULL,0.532525253
P56373,P2RX3,ECM,No,NULL,NULL,0.598969697
O43614,HCRTR2,nonECM,No,NULL,NULL,0.555575758
O43613,HCRTR1,nonECM,No,NULL,NULL,0.560666667
P52824,DGKQ,nonECM,No,NULL,NULL,0.629777778
P59551,TAS2R60,nonECM,No,NULL,NULL,0.600808081
P39086,GRIK1,nonECM,No,NULL,NULL,0.556323232
O43609,SPRY1,nonECM,No,NULL,NULL,0.515717172
O43603,GALR2,nonECM,No,NULL,NULL,0.53969697
P59544,TAS2R50,nonECM,No,NULL,NULL,0.661252525
P59543,TAS2R20,nonECM,No,NULL,NULL,0.652020202
P59542,TAS2R19,nonECM,No,NULL,NULL,0.645878788
P59541,TAS2R30,nonECM,No,NULL,NULL,0.640282828
P59540,TAS2R46,nonECM,No,NULL,NULL,0.658484848
Q9H063,MAF1,nonECM,No,NULL,NULL,0.607353535
P59539,TAS2R45,nonECM,No,NULL,NULL,0.658848485
P59538,TAS2R31,nonECM,No,NULL,NULL,0.635111111
P59537,TAS2R43,nonECM,No,NULL,NULL,0.650949495
P59536,TAS2R41,nonECM,No,NULL,NULL,0.622868687
P59535,TAS2R40,nonECM,No,NULL,NULL,0.604
P59534,TAS2R39,nonECM,No,NULL,NULL,0.62030303
P59533,TAS2R38,nonECM,No,NULL,NULL,0.603111111
Q5VV43,KIAA0319,ECM,No,NULL,NULL,0.684949495
Q96FL8,SLC47A1,nonECM,No,NULL,NULL,0.599939394
P20930,FLG,ECM,Yes,Matrisome-associated,Secreted Factors,0.847252525
Q96FJ2,DYNLL2,nonECM,No,NULL,NULL,0.721353535
Q9UHW9,SLC12A6,nonECM,No,NULL,NULL,0.57169697
P00451,F8,nonECM,No,NULL,NULL,0.570767677
P32302,CXCR5,nonECM,No,NULL,NULL,0.553515152
Q12933,TRAF2,nonECM,No,NULL,NULL,0.797838384
Q96MP8,KCTD7,nonECM,No,NULL,NULL,0.599030303
Q9NRY4,ARHGAP35,nonECM,No,NULL,NULL,0.924
Q12918,KLRB1,ECM,No,NULL,NULL,0.734383838
Q12912,LRMP,nonECM,No,NULL,NULL,0.901636364
A6NMZ5,OR4C45,nonECM,No,NULL,NULL,0.568747475
Q12907,LMAN2,ECM,No,NULL,NULL,0.764949495
A6NN92,GJE1,nonECM,No,NULL,NULL,0.637292929
Q6P0Q8,MAST2,nonECM,No,NULL,NULL,0.760585859
Q9UPA5,BSN,nonECM,No,NULL,NULL,0.730020202
A0A0B4J2E0,TRBV12-4,ECM,No,NULL,NULL,0.660929293
Q96MU8,KREMEN1,ECM,No,NULL,NULL,0.75240404
A0A0B4J2D9,IGKV1D-13,ECM,No,NULL,NULL,0.684383838
P45844,ABCG1,nonECM,No,NULL,NULL,0.592282828
A6NMU1,OR52A4P,nonECM,No,NULL,NULL,0.587616162
A6NMS3,OR5K4,nonECM,No,NULL,NULL,0.621333333
O60939,SCN2B,ECM,No,NULL,NULL,0.587717172
Q9NSD7,RXFP3,nonECM,No,NULL,NULL,0.518
Q14088,RAB33A,nonECM,No,NULL,NULL,0.682525253
Q9NSE2,CISH,ECM,No,NULL,NULL,0.621353535
P13945,ADRB3,nonECM,No,NULL,NULL,0.527656566
O00270,GPR31,nonECM,No,NULL,NULL,0.561535354
P56937,HSD17B7,nonECM,No,NULL,NULL,0.781959596
Q9H7D0,DOCK5,nonECM,No,NULL,NULL,0.838969697
Q9UPI3,FLVCR2,nonECM,No,NULL,NULL,0.563818182
P13929,ENO3,nonECM,No,NULL,NULL,0.656969697
P13928,ANXA8,ECM,Yes,Matrisome-associated,ECM-affiliated Proteins,0.585858586
P25311,AZGP1,ECM,No,NULL,NULL,0.608040404
A0A0B4J1Z2,IGKV1D-43,ECM,No,NULL,NULL,0.700626263
A0A0B4J1Y8,IGLV9-49,ECM,No,NULL,NULL,0.692363636
A7KAX9,ARHGAP32,nonECM,No,NULL,NULL,0.747292929
Q02643,GHRHR,nonECM,No,NULL,NULL,0.590464646
Q02641,CACNB1,nonECM,No,NULL,NULL,0.704787879
A0A087WW87,IGKV2-40,ECM,No,NULL,NULL,0.689333333
Q14028,CNGB1,nonECM,No,NULL,NULL,0.541232323
A0A0B4J280,TRAV40,ECM,No,NULL,NULL,0.638242424
P40259,CD79B,ECM,No,NULL,NULL,0.661070707
A0A0B4J277,TRAV22,ECM,No,NULL,NULL,0.588888889
A0A0B4J275,TRAV17,ECM,No,NULL,NULL,0.607313131
A0A0B4J274,TRAV20,ECM,No,NULL,NULL,0.628262626
Q14008,CKAP5,nonECM,No,NULL,NULL,0.828686869
P35590,TIE1,ECM,No,NULL,NULL,0.846989899
Q14005,IL16,ECM,Yes,Matrisome-associated,Secreted Factors,0.823878788
Q9UPP2,IQSEC3,nonECM,No,NULL,NULL,0.812424242
Q9UQ13,SHOC2,nonECM,No,NULL,NULL,0.58779798
Q9UQ16,DNM3,nonECM,No,NULL,NULL,0.84169697
A0A0B4J1U6,TRBV9,ECM,No,NULL,NULL,0.645090909
A0A0B4J264,TRAV38-1,ECM,No,NULL,NULL,0.628040404
A0A0B4J1U3,IGLV1-36,ECM,No,NULL,NULL,0.620242424
P40238,MPL,ECM,No,NULL,NULL,0.862040404
O14975,SLC27A2,nonECM,No,NULL,NULL,0.701858586
Q9BPZ7,MAPKAP1,nonECM,No,NULL,NULL,0.776282828
O15068,MCF2L,nonECM,No,NULL,NULL,0.907353535
Q9NUW8,TDP1,nonECM,No,NULL,NULL,0.875171717
Q96PL5,ERMAP,ECM,No,NULL,NULL,0.517818182
Q96PL2,TECTB,ECM,Yes,Core matrisome,ECM Glycoproteins,0.845919192
Q6XYQ8,SYT10,ECM,No,NULL,NULL,0.510141414
O15041,SEMA3E,ECM,Yes,Matrisome-associated,ECM-affiliated Proteins,0.740424242
Q9H9S5,FKRP,nonECM,No,NULL,NULL,0.534222222
O15034,RIMBP2,ECM,No,NULL,NULL,0.558343434
O15031,PLXNB2,ECM,Yes,Matrisome-associated,ECM-affiliated Proteins,0.888646465
Q2Y0W8,SLC4A8,nonECM,No,NULL,NULL,0.655454545
Q96PJ5,FCRL4,ECM,No,NULL,NULL,0.737494949
Q5SQN1,SNAP47,nonECM,No,NULL,NULL,0.816464646
Q96PI1,SPRR4,nonECM,No,NULL,NULL,0.752545455
Q6PEY1,TMEM88,nonECM,No,NULL,NULL,0.510424242
Q6PEY0,GJB7,nonECM,No,NULL,NULL,0.632343434
P12821,ACE,nonECM,No,NULL,NULL,0.779858586
Q08289,CACNB2,nonECM,No,NULL,NULL,0.80359596
Q96PE5,OPALIN,nonECM,No,NULL,NULL,0.542909091
Q96PE1,ADGRA2,ECM,No,NULL,NULL,0.639474747
P19526,FUT1,nonECM,No,NULL,NULL,0.518242424
Q96PD2,DCBLD2,ECM,No,NULL,NULL,0.825474747
Q9H9K5,ERVMER34-1,nonECM,No,NULL,NULL,0.502646465
Q9NUN5,LMBRD1,nonECM,No,NULL,NULL,0.581292929
Q9H9J2,MRPL44,nonECM,No,NULL,NULL,0.725757576
Q96PB7,OLFM3,nonECM,No,NULL,NULL,0.753333333
Q9BRV3,SLC50A1,nonECM,No,NULL,NULL,0.555979798
Q9H9H4,VPS37B,nonECM,No,NULL,NULL,0.819131313
Q5T2D2,TREML2,ECM,No,NULL,NULL,0.78240404
P31321,PRKAR1B,nonECM,No,NULL,NULL,0.743050505
Q8IZF6,ADGRG4,ECM,No,NULL,NULL,0.648868687
Q8IZF4,ADGRG5,ECM,No,NULL,NULL,0.530424242
Q8IZF0,NALCN,nonECM,No,NULL,NULL,0.642121212
Q15399,TLR1,ECM,No,NULL,NULL,0.521131313
P01374,LTA,ECM,Yes,Matrisome-associated,Secreted Factors,0.735393939
P01375,TNF,ECM,Yes,Matrisome-associated,Secreted Factors,0.66020202
Q15391,P2RY14,nonECM,No,NULL,NULL,0.557737374
Q15390,MTFR1,nonECM,No,NULL,NULL,0.787151515
Q8IZD2,KMT2E,nonECM,No,NULL,NULL,0.784262626
Q15389,ANGPT1,nonECM,Yes,Matrisome-associated,Secreted Factors,0.728989899
Q6NZY7,CDC42EP5,nonECM,No,NULL,NULL,0.621333333
A8K0Z3,WASHC1,nonECM,No,NULL,NULL,0.757474747
Q8IZC4,RTKN2,nonECM,No,NULL,NULL,0.744444444
Q15375,EPHA7,ECM,No,NULL,NULL,0.64189899
Q9Y6K5,OAS3,nonECM,No,NULL,NULL,0.612020202
Q15361,TTF1,nonECM,No,NULL,NULL,0.894949495
Q8IZA0,KIAA0319L,ECM,No,NULL,NULL,0.832080808
P41597,CCR2,nonECM,No,NULL,NULL,0.550060606
P41595,HTR2B,nonECM,No,NULL,NULL,0.537050505
P41594,GRM5,ECM,No,NULL,NULL,0.585979798
P41587,VIPR2,nonECM,No,NULL,NULL,0.58030303
P41586,ADCYAP1R1,nonECM,No,NULL,NULL,0.606282828
A0A0G2JS06,IGLV5-39,ECM,No,NULL,NULL,0.690888889
P06127,CD5,ECM,No,NULL,NULL,0.832383838
Q6UX82,LYPD8,ECM,No,NULL,NULL,0.642505051
P21854,CD72,ECM,No,NULL,NULL,0.643151515
Q6UWV6,ENPP7,ECM,No,NULL,NULL,0.62759596
Q8NI17,IL31RA,ECM,No,NULL,NULL,0.826626263
P36897,TGFBR1,nonECM,No,NULL,NULL,0.527151515
P36896,ACVR1B,nonECM,No,NULL,NULL,0.52159596
O94991,SLITRK5,ECM,No,NULL,NULL,0.614565657
O00273,DFFA,nonECM,No,NULL,NULL,0.805171717
Q8IWY9,CDAN1,nonECM,No,NULL,NULL,0.655313131
O94779,CNTN5,ECM,No,NULL,NULL,0.845616162
Q8IWY4,SCUBE1,ECM,Yes,Matrisome-associated,Secreted Factors,0.940181818
P48066,SLC6A11,nonECM,No,NULL,NULL,0.564141414
P48065,SLC6A12,nonECM,No,NULL,NULL,0.558484848
O94772,LY6H,ECM,No,NULL,NULL,0.588323232
P48061,CXCL12,ECM,Yes,Matrisome-associated,Secreted Factors,0.862888889
P48060,GLIPR1,ECM,No,NULL,NULL,0.635030303
O00264,PGRMC1,ECM,No,NULL,NULL,0.520363636
P48051,KCNJ6,nonECM,No,NULL,NULL,0.734080808
P48050,KCNJ4,nonECM,No,NULL,NULL,0.680161616
Q9HCU4,CELSR2,ECM,No,NULL,NULL,0.860464646
Q9HCU0,CD248,ECM,No,NULL,NULL,0.879535354
O00255,MEN1,nonECM,No,NULL,NULL,0.617050505
O94759,TRPM2,nonECM,No,NULL,NULL,0.647393939
Q8IWW6,ARHGAP12,nonECM,No,NULL,NULL,0.619939394
P48048,KCNJ1,nonECM,No,NULL,NULL,0.672868687
P48047,ATP5O,nonECM,No,NULL,NULL,0.607272727
O00241,SIRPB1,ECM,No,NULL,NULL,0.673757576
P48039,MTNR1A,nonECM,No,NULL,NULL,0.553353535
Q8IWV1,LAX1,nonECM,No,NULL,NULL,0.557393939
O00238,BMPR1B,ECM,No,NULL,NULL,0.518363636
A4FU49,SH3D21,nonECM,No,NULL,NULL,0.666383838
Q8IWU6,SULF1,ECM,Yes,Matrisome-associated,ECM Regulators,0.784606061
Q8IWU5,SULF2,ECM,Yes,Matrisome-associated,ECM Regulators,0.821979798
Q8IWU4,SLC30A8,nonECM,No,NULL,NULL,0.629373737
P36639,NUDT1,nonECM,No,NULL,NULL,0.532282828
Q8IWU2,LMTK2,nonECM,No,NULL,NULL,0.598909091
P48023,FASLG,ECM,Yes,Matrisome-associated,Secreted Factors,0.632666667
Q8TCY5,MRAP,ECM,No,NULL,NULL,0.520525253
O00222,GRM8,ECM,No,NULL,NULL,0.527878788
O00220,TNFRSF10A,ECM,No,NULL,NULL,0.712363636
Q8IWT6,LRRC8A,ECM,No,NULL,NULL,0.568585859
Q8IWT1,SCN4B,ECM,No,NULL,NULL,0.553454545
Q9HD26,GOPC,nonECM,No,NULL,NULL,0.707070707
O00219,HAS3,nonECM,No,NULL,NULL,0.681818182
O00217,NDUFS8,nonECM,No,NULL,NULL,0.681939394
P16150,SPN,ECM,No,NULL,NULL,0.642020202
Q13976,PRKG1,nonECM,No,NULL,NULL,0.759272727
Q13972,RASGRF1,nonECM,No,NULL,NULL,0.940747475
Q9HD15,SRA1,nonECM,No,NULL,NULL,0.602141414
Q8TCW9,PROKR1,nonECM,No,NULL,NULL,0.569676768
Q9HCP0,CSNK1G1,nonECM,No,NULL,NULL,0.762242424
Q8TD84,DSCAML1,ECM,No,NULL,NULL,0.803494949
Q8IX30,SCUBE3,ECM,Yes,Matrisome-associated,Secreted Factors,0.930545455
Q6ZVD8,PHLPP2,ECM,No,NULL,NULL,0.552909091
Q6ZVD7,STOX1,nonECM,No,NULL,NULL,0.781050505
Q9BXC9,BBS2,nonECM,No,NULL,NULL,0.609757576
P43630,KIR3DL2,ECM,No,NULL,NULL,0.788060606
Q9BXC1,GPR174,nonECM,No,NULL,NULL,0.553555556
Q9BXC0,HCAR1,nonECM,No,NULL,NULL,0.55179798
O15554,KCNN4,nonECM,No,NULL,NULL,0.591474747
O15552,FFAR2,nonECM,No,NULL,NULL,0.549939394
O15551,CLDN3,nonECM,No,NULL,NULL,0.57359596
Q6V1P9,DCHS2,ECM,No,NULL,NULL,0.67789899
Q9NZW5,MPP6,nonECM,No,NULL,NULL,0.607757576
Q2M3D2,EXOC3L2,nonECM,No,NULL,NULL,0.784383838
O15547,P2RX6,ECM,No,NULL,NULL,0.642848485
O15540,FABP7,nonECM,No,NULL,NULL,0.645313131
Q5T7P8,SYT6,ECM,No,NULL,NULL,0.573212121
Q2M3C6,TMEM266,nonECM,No,NULL,NULL,0.735494949
Q5T7P2,LCE1A,nonECM,No,NULL,NULL,0.644242424
O15537,RS1,ECM,No,NULL,NULL,0.698929293
Q13491,GPM6B,nonECM,No,NULL,NULL,0.738323232
Q13490,BIRC2,nonECM,No,NULL,NULL,0.594383838
Q9NZU7,CABP1,nonECM,No,NULL,NULL,0.724343434
O15529,GPR42,nonECM,No,NULL,NULL,0.570505051
O15520,FGF10,ECM,Yes,Matrisome-associated,Secreted Factors,0.751575758
Q6NSJ5,LRRC8E,ECM,No,NULL,NULL,0.576282828
Q13478,IL18R1,ECM,No,NULL,NULL,0.548767677
Q13477,MADCAM1,ECM,No,NULL,NULL,0.640888889
Q13474,DRP2,nonECM,No,NULL,NULL,0.925090909
P24723,PRKCH,nonECM,No,NULL,NULL,0.726969697
Q13467,FZD5,ECM,No,NULL,NULL,0.525393939
Q9UL51,HCN2,ECM,No,NULL,NULL,0.61159596
Q29RF7,PDS5A,nonECM,No,NULL,NULL,0.686525253
Q13459,MYO9B,nonECM,No,NULL,NULL,0.923111111
Q68EM7,ARHGAP17,nonECM,No,NULL,NULL,0.780505051
Q13454,TUSC3,nonECM,No,NULL,NULL,0.600060606
Q9NZQ8,TRPM5,nonECM,No,NULL,NULL,0.54789899
Q9NZQ7,CD274,ECM,No,NULL,NULL,0.572424242
Q92797,SYMPK,nonECM,No,NULL,NULL,0.668969697
Q99683,MAP3K5,nonECM,No,NULL,NULL,0.675656566
Q96ST8,CEP89,nonECM,No,NULL,NULL,0.922343434
Q8IY95,TMEM192,nonECM,No,NULL,NULL,0.571616162
Q4KMZ8,NKAIN1,nonECM,No,NULL,NULL,0.593171717
P11413,G6PD,nonECM,No,NULL,NULL,0.644484848
P53597,SUCLG1,nonECM,No,NULL,NULL,0.52640404
A0A0A6YYK7,TRAV19,ECM,No,NULL,NULL,0.67640404
A0A0A6YYK6,TRAV16,ECM,No,NULL,NULL,0.56979798
A0A0A6YYK1,TRAV8-1,ECM,No,NULL,NULL,0.657353535
P06744,GPI,nonECM,No,NULL,NULL,0.675757576
A0A0A6YYJ7,TRAV8-3,ECM,No,NULL,NULL,0.69159596
P06734,FCER2,nonECM,No,NULL,NULL,0.52020202
P06733,ENO1,nonECM,No,NULL,NULL,0.735151515
P06729,CD2,ECM,No,NULL,NULL,0.592181818
P06312,IGKV4-1,ECM,No,NULL,NULL,0.723131313
G3V0H7,SLCO1B7,nonECM,No,NULL,NULL,0.506787879
A0A0A6YYG3,TRBV6-8,ECM,No,NULL,NULL,0.653636364
A0A0A6YYG2,TRBV6-6,ECM,No,NULL,NULL,0.676080808
Q8WZA6,OR1E3,nonECM,No,NULL,NULL,0.593292929
Q9N2J8,,ECM,No,NULL,NULL,0.530040404
Q8WZA2,RAPGEF4,nonECM,No,NULL,NULL,0.738989899
P06340,HLA-DOA,nonECM,No,NULL,NULL,0.514626263
A0A0A6YYD4,TRBV13,ECM,No,NULL,NULL,0.576909091
A0A075B6X5,TRAV18,ECM,No,NULL,NULL,0.680323232
Q4KMQ2,ANO6,nonECM,No,NULL,NULL,0.795393939
A0A0A6YYC5,TRAV14DV4,ECM,No,NULL,NULL,0.67379798
Q2KHT4,GSG1,nonECM,No,NULL,NULL,0.729333333
A0A075B6W5,TRAV23DV6,ECM,No,NULL,NULL,0.677656566
Q4KMP7,TBC1D10B,nonECM,No,NULL,NULL,0.517232323
Q7L5Y9,MAEA,nonECM,No,NULL,NULL,0.89179798
A0A075B6V5,TRAV36DV7,ECM,No,NULL,NULL,0.631474747
P33032,MC5R,nonECM,No,NULL,NULL,0.592080808
Q5TDP6,LGSN,nonECM,No,NULL,NULL,0.679959596
A0A075B6U4,TRAV7,ECM,No,NULL,NULL,0.659474747
Q9Y5G4,PCDHGA9,ECM,No,NULL,NULL,0.70020202
A0A075B6T8,TRAV9-1,ECM,No,NULL,NULL,0.619333333
A0A075B6T7,TRAV6,ECM,No,NULL,NULL,0.590040404
A0A075B6T6,TRAV12-2,ECM,No,NULL,NULL,0.601777778
Q9NS86,LANCL2,nonECM,No,NULL,NULL,0.732040404
Q9NS82,SLC7A10,nonECM,No,NULL,NULL,0.548484848
Q6IEZ7,OR2T5,nonECM,No,NULL,NULL,0.615131313
P15421,GYPE,ECM,No,NULL,NULL,0.517535354
A0A1B0GXF2,TRBV7-2,ECM,No,NULL,NULL,0.651717172
Q9NS75,CYSLTR2,nonECM,No,NULL,NULL,0.531232323
Q6IEY1,OR4F3;,nonECM,No,NULL,NULL,0.609111111
O95371,OR2C1,nonECM,No,NULL,NULL,0.597919192
O95377,GJB5,nonECM,No,NULL,NULL,0.54630303
Q9NS66,GPR173,nonECM,No,NULL,NULL,0.589737374
Q9NRU3,CNNM1,ECM,No,NULL,NULL,0.573131313
Q6IF99,OR10K2,nonECM,No,NULL,NULL,0.589454545
P12544,GZMA,ECM,No,NULL,NULL,0.775818182
